Symbol,CompanyName,MarketCap,Sector,Industry,DividendYield,Beta
A,Agilent Technologies Inc,$36.6B,Health Care,Life Sciences Tools & Services,0.65%,+1.0
AA,Alcoa Corp,$4.4B,Materials,Metals & Mining,--,+2.6
AACG,ATA Creativity Global(ADR),$38.3M,Consumer Discretionary,Diversified Consumer Services,--,+1.6
AACS,"American Commerce Solutions, Inc.",$926.3K,Industrials,Road & Rail,--,-1.0
AAEEF,ALTAIR RESOURCES INC,$561.6K,Materials,Metals & Mining,--,+4.4
AAGC,All American Gold Corp,$1.0M,Materials,Metals & Mining,--,-0.5
AAIC,Arlington Asset Investment Corp,$128.4M,Financials,Mortgage Real Estate Investment Trusts (REITs),--,+1.8
AAIC-B,Arlington Asset Investment Corp,--,Financials,Mortgage Real Estate Investment Trusts (REITs),8.29%,--
AAIC-C,Arlington Asset Investment Corp,--,Financials,Mortgage Real Estate Investment Trusts (REITs),9.94%,--
AAIIQ,"Alabama Aircraft Industries, Inc.",$330.5K,Industrials,Aerospace & Defense,--,+0.0
AAL,American Airlines Group Inc,$9.3B,Industrials,Airlines,--,+1.8
AAMC,Altisource Asset Management Corp,$39.0M,Real Estate,Real Estate Management & Development,--,+0.6
AAME,Atlantic American Corporation,$48.7M,Financials,Insurance,--,+0.2
AAON,"AAON, Inc.",$3.4B,Industrials,Building Products,0.59%,+0.6
AAP,"Advance Auto Parts, Inc.",$10.7B,Consumer Discretionary,Specialty Retail,0.64%,+1.3
AAPJ,Aap 101 Inc,$1.4M,Industrials,Machinery,--,+0.4
AAPT,All American Pet Co Inc,$345.7K,Consumer Staples,Food Products,--,--
AAT,"American Assets Trust, Inc",$1.7B,Real Estate,Equity Real Estate Investment Trusts (REITs),3.65%,+1.2
AATP,Agape ATP Corp,$2.8B,Health Care,Health Care Providers & Services,--,--
AAU,Almaden Minerals Ltd. (USA),$61.2M,Materials,Metals & Mining,--,+1.5
AAWCD,Canning Street Corp,$.6K,Information Technology,Semiconductors & Semiconductor Equipment,--,+8.5
AAWW,"Atlas Air Worldwide Holdings, Inc.",$1.5B,Industrials,Air Freight & Logistics,--,+1.3
AAXN,Axon Enterprise Inc,$7.7B,Industrials,Aerospace & Defense,--,+0.6
AB,Alliancebernstein Holding LP,$3.2B,Financials,Capital Markets,8.39%,+1.5
ABB,ABB Ltd (ADR),$60.7B,Industrials,Electrical Equipment,2.92%,+1.1
ABBB,Auburn Bancorp Inc,$5.0M,Financials,Thrifts & Mortgage Finance,--,--
ABBV,AbbVie Inc,$186.2B,Health Care,Biotechnology,4.93%,+0.8
ABBY,Abby Inc,$958.1K,Consumer Discretionary,Specialty Retail,--,+1.5
ABC,AmerisourceBergen Corp.,$19.9B,Health Care,Health Care Providers & Services,1.82%,+0.5
ABCB,Ameris Bancorp,$2.7B,Financials,Banks,1.57%,+1.4
ABEO,Abeona Therapeutics Inc,$172.9M,Health Care,Biotechnology,--,+1.6
ABEPF,VISION LITHIUM INC,$2.8M,Materials,Metals & Mining,--,+0.7
ABG,"Asbury Automotive Group, Inc.",$2.8B,Consumer Discretionary,Specialty Retail,--,+1.6
ABILF,Ability Inc,$5.3M,Industrials,Aerospace & Defense,--,+1.2
ABIO,Arca Biopharma Inc,$39.2M,Health Care,Biotechnology,--,+2.8
ABLT,American Biltrite Inc.,$8.2M,Materials,Chemicals,--,+0.9
